repository,revision,path,size_bytes,lfs_sha256,download_url
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,.gitattributes,188929,,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/.gitattributes
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/colon.h5ad,92713808,1eadd920f9283e23283dcfbadd244514c9ea4517be3c41d85c6827c7e62b9957,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/colon.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/colon_cancer.h5ad,176477315,72ab92f0b8a92264c45649742ab446fe65d37879bdc9e599751bb162f89fd4bf,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/colon_cancer.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/human_brain.h5ad,15148246,62551da7990050e1f4fcc25c69bd40b7476ae8f0d0fb15ec79270cbd8330af14,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/human_brain.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/kidney.h5ad,28204024,db919bf13d002e8147c43ee7358be9f82fc62422b02f2d42d31423ca642fa879,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/kidney.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/lung.h5ad,138127087,44c6974e32fbf42481be8cf8182a385d605579c49e341e06e0bb54d323a53dbf,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/lung.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/lung_cancer.h5ad,108045472,7b3d470fbf271848e44ee5ef60a895d083209ea2424cc6a0e2ba6be515e0ac3b,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/lung_cancer.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/lymph.h5ad,113189229,d43c6aa7b41de1b88ac497a071f0fb66cfe6a4871944dd9d0adf6b0d4533a54e,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/lymph.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/mouse_alz.h5ad,36580652,ea7692c06620c2403247082df22e55ceb0cf00900ff26afb0bb5f2239560a8e8,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/mouse_alz.h5ad
Toycat/SToCorpus-88M,6f699f128416e8d55d6ab74976e964caec98b157,10x/mouse_brain.h5ad,357259923,3dbdcf9eaf8c0d36fd28bd576db6419f35a5c650bcc261430e6ed41cf36c5550,https://huggingface.co/datasets/Toycat/SToCorpus-88M/resolve/6f699f128416e8d55d6ab74976e964caec98b157/10x/mouse_brain.h5ad
