paper_id,title,year,journal,doi,topic,status,tags
wei-2026-spatialvista,"SpatialVista as a unified ecosystem for high-performance visualization and exploration of 3D spatial transcriptomics data",2026,Nature Genetics,10.1038/s41588-026-02696-7,"3D spatial transcriptomics; visualization",cataloged,"topic:spatial-transcriptomics;topic:visualization;modality:3d-st;software:spatialvista;year:2026;status:cataloged"
zhang-2023-whole-mouse-brain-merfish,"Molecularly defined and spatially resolved cell atlas of the whole mouse brain",2023,Nature,10.1038/s41586-023-06808-9,"成年小鼠全脑 MERFISH 单细胞空间图谱",data_linked,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:merfish;atlas:whole-brain;year:2023;status:data-linked"
han-2025-mouse-brain-stereo-seq,"Single-cell spatial transcriptomic atlas of the whole mouse brain",2025,Neuron,10.1016/j.neuron.2025.02.015,"小鼠全脑 Stereo-seq 与 snRNA-seq 图谱",data_linked,"topic:spatial-transcriptomics;organism:mouse;tissue:brain;modality:stereo-seq;modality:snrna-seq;atlas:whole-brain;year:2025;status:data-linked"
cheng-2024-mouse-embryo-3d,"Three-dimension transcriptomics maps of whole mouse embryo during organogenesis",2024,bioRxiv,10.1101/2024.08.17.608366,"E9.5 与 E11.5 小鼠胚胎三维转录组",cataloged,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;modality:stereo-seq;imaging:sbfi;development:organogenesis;source:cnsa;year:2024;status:catalog-only;license:verify;publication:preprint"
xie-2025-digital-mouse-embryo,"Digital reconstruction of full embryos during early mouse organogenesis",2025,Cell,10.1016/j.cell.2025.05.035,"E7.5 至 E8.0 小鼠胚胎三维数字重建",linked_not_downloaded,"topic:spatial-transcriptomics;organism:mouse;tissue:embryo;modality:stereo-seq;development:organogenesis;source:geo;year:2025;status:linked-not-downloaded"
xiao-2024-human-gastrulation,"3D reconstruction of a gastrulating human embryo",2024,Cell,10.1016/j.cell.2024.03.041,"CS8 人原肠胚 Stereo-seq 三维重建",data_linked,"topic:spatial-transcriptomics;organism:human;tissue:embryo;modality:stereo-seq;development:gastrulation;year:2024;status:data-linked"
zhang-2025-single-cell-foundation-model-survey,A Survey on Foundation Language Models for Single-cell Biology,2025,ACL 2025,10.18653/v1/2025.acl-long.26,单细胞基础模型、预训练语料、下游评测数据与模型资源,cataloged,topic:single-cell;topic:foundation-model;resource:survey;year:2025;status:cataloged
zheng-2017-pbmc68k,Massively parallel digital transcriptional profiling of single cells,2017,Nature Communications,10.1038/ncomms14049,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2017
baron-2016-pancreas,A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure,2016,Cell Systems,10.1016/j.cels.2016.08.011,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2016
muraro-2016-pancreas,A Single-Cell Transcriptome Atlas of the Human Pancreas,2016,Cell Systems,10.1016/j.cels.2016.09.002,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2016
segerstolpe-2016-pancreas,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Type 2 Diabetes,2016,Cell Metabolism,10.1016/j.cmet.2016.08.020,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2016
macparland-2018-liver,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,2018,Nature Communications,10.1038/s41467-018-06318-7,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2018
schirmer-2019-ms,Neuronal vulnerability and multilineage diversity in multiple sclerosis,2019,Nature,10.1038/s41586-019-1404-z,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2019
