sample_id,TP53,TNF,IL6,IL10,IFNG,IL1B,CXCL8,CCL2,MMP9,PTGS2,CD68,CD3D,CD19,MS4A1,FCGR3A,CD14,CD163,CD206,IL1RN
GSM0001,5.2,12.1,8.3,3.2,6.5,15.2,18.3,9.1,4.5,7.2,11.3,8.5,2.1,1.8,9.5,12.1,10.2,8.3,6.5
GSM0002,4.8,10.5,7.1,2.8,5.9,13.8,16.5,8.3,3.9,6.8,10.5,7.9,1.9,1.6,8.8,11.5,9.8,7.9,6.1
GSM0003,6.1,15.3,10.2,4.1,7.8,18.5,22.1,11.2,5.8,8.9,13.8,9.2,2.5,2.1,11.2,14.5,12.1,9.8,7.8
GSM0004,5.5,13.8,9.1,3.5,7.1,16.9,20.3,10.1,5.1,8.1,12.5,8.8,2.3,1.9,10.3,13.2,11.0,8.9,7.1
GSM0005,4.5,9.2,6.5,2.5,5.2,12.1,14.8,7.5,3.5,6.2,9.8,7.2,1.7,1.5,8.1,10.8,9.1,7.2,5.8
GSM0006,5.8,14.5,9.8,3.8,7.5,17.8,21.2,10.8,5.5,8.5,13.2,9.0,2.4,2.0,10.8,13.8,11.5,9.2,7.5
GSM0007,4.2,8.5,5.8,2.2,4.8,11.2,13.5,6.8,3.1,5.8,9.1,6.8,1.5,1.3,7.5,10.1,8.5,6.8,5.2
GSM0008,5.0,11.2,7.8,3.0,6.2,14.5,17.2,8.8,4.2,7.0,10.8,8.1,2.0,1.7,9.2,11.8,10.0,8.1,6.2
GSM0009,6.5,16.8,11.5,4.5,8.5,20.1,24.5,12.5,6.5,9.8,15.1,10.2,2.8,2.3,12.5,15.8,13.2,10.8,8.5
GSM0010,4.0,7.8,5.2,2.0,4.5,10.5,12.8,6.2,2.8,5.5,8.5,6.5,1.4,1.2,7.0,9.5,8.0,6.5,4.8
