dataset_id,cohort_role,sample_count_reported,expression_platform,response_label_available,download_status,inspection_status,notes
GSE12251,34_gene_signature_training,23,Affymetrix HG-U133 Plus 2.0,yes,not_downloaded,pending,"可能与GSE23597存在重复样本"
GSE16879,34_gene_signature_training,61,Affymetrix HG-U133 Plus 2.0,yes,not_downloaded,pending,"可能与GSE14580存在重复样本"
GSE14580,34_gene_signature_training,24,Affymetrix HG-U133 Plus 2.0,yes,not_downloaded,pending,"可能与GSE16879存在重复样本"
GSE73661,34_gene_signature_training,23,Affymetrix HG-U133 Plus 2.0,yes,not_downloaded,pending,"同时用于验证和布尔网络训练；注意数据泄漏"
GSE207022,34_gene_signature_training,101,Illumina,yes,not_downloaded,pending,"样本量最大的训练队列"
E-MTAB-7604,34_gene_signature_training,43,Affymetrix,yes,not_downloaded,pending,"从EMBL-EBI BioStudies下载"
GSE234736,34_gene_signature_training,47,Illumina,yes,not_downloaded,pending,"较新的队列"
GSE23597,independent_validation,pending,Affymetrix HG-U133 Plus 2.0,pending,not_downloaded,pending,"可能与GSE12251存在重复样本"
GSE115390,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,""
GSE49858,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,""
GSE59071,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,""
GSE37283,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,""
GSE83687,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,"同时用于布尔网络训练"
GSE20881,independent_validation,pending,Affymetrix,pending,not_downloaded,pending,""
GSE193677,independent_validation,pending,Illumina,pending,not_downloaded,pending,"较新的验证队列"
GSE6731,boolean_network_training,pending,Affymetrix HG-U133A,pending,not_downloaded,pending,"较早的IBD队列"
