dataset_name,category,source,accession,url,organism,cell_type_or_line,perturbation_type,number_of_cells,number_of_genes,number_of_perturbations,data_format,access_level,purpose,download_status,local_path,license,notes
ZINC,A_pretraining,zinc15,N/A,https://zinc15.docking.org/,N/A,N/A,chemical structure,N/A,N/A,N/A,smiles,public,预训练ChemicalVAE学习SMILES嵌入,not_downloaded,data/external/zinc/,ZINC license,药物结构数据
Gene Ontology,A_pretraining,geneontology,N/A,https://geneontology.org/,multiple,N/A,gene function,N/A,15988,N/A,obo/gaf,public,构建15988维基因功能向量训练GenotypeVAE,not_downloaded,data/external/go/,BSD-3,GO功能向量
UniParc/ESM,A_pretraining,uniprot,N/A,https://www.uniprot.org/uniparc,multiple,N/A,protein sequence,N/A,N/A,N/A,fasta,public,预训练ESM用蛋白质序列表示编码突变,not_downloaded,data/external/uniparc/,CC BY 4.0,蛋白质序列
LINCS-Drug,B_drug,clue.io,N/A,https://clue.io/data,human,170 cell lines,drug,677159,N/A,19990 compounds,gct,public,训练和评估未见药物响应,not_downloaded,data/processed/lincs/,LINCS terms,677159表达测量
sci-Plex,B_drug,GEO,GSE139944,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,human,3 cell lines,drug,648857,N/A,180 drugs,h5ad,public,药物扰动后单细胞表达分布预测,not_downloaded,data/raw/GSE139944/,CC BY 4.0,648857细胞
Norman CRISPRa,C_crispr,GEO,GSE133344,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,human,K562,CRISPRa,109738,2279,230,h5ad,public,预测未见单基因和双基因扰动,not_downloaded,data/raw/GSE133344/,CC BY 4.0,109738 K562细胞
Ursu TP53/KRAS,D_protein,GEO,GSE161824,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161824,human,A549,protein mutation,162532,1629,163 sequences,h5ad,public,预测未见TP53和KRAS编码突变,not_downloaded,data/raw/GSE161824/,CC BY 4.0,162532 A549细胞
Jorge GATA1,D_protein,GEO,GSE215253,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215253,human,HSPC,protein mutation,142872,2477,257 sequences,h5ad,public,预测未见GATA1突变及全部单氨基酸替换,not_downloaded,data/raw/GSE215253/,CC BY 4.0,142872 HSPC
HuggingFace data_paper,E_hf_data,huggingface,N/A,https://huggingface.co/cyclopeta/PerturbNet_reproduce/tree/main/data_paper,multiple,multiple,multiple,large,multiple,multiple,h5ad/pt,public,论文使用的数据,pending,data/processed/data_paper/,HF license,作者处理后数据
HuggingFace example_data,E_hf_data,huggingface,N/A,https://huggingface.co/cyclopeta/PerturbNet_reproduce/tree/main/example_data,multiple,multiple,multiple,small,multiple,multiple,h5ad/yaml,public,小型教程数据,pending,data/example/,HF license,第一阶段下载
HuggingFace models,E_hf_model,huggingface,N/A,https://huggingface.co/cyclopeta/PerturbNet_reproduce/tree/main/models,multiple,N/A,N/A,N/A,N/A,N/A,pt,public,模型,pending,data/model_weights/models/,HF license,第二阶段下载
HuggingFace pretrained_model,E_hf_model,huggingface,N/A,https://huggingface.co/cyclopeta/PerturbNet_reproduce/tree/main/pretrained_model,multiple,N/A,N/A,N/A,N/A,N/A,pt/safetensors,public,预训练模型,pending,data/model_weights/pretrained_model/,HF license,第二阶段下载
BioStudies source data,F_source,biostudies,S-SCDT-10_1038-S44320-025-00131-3,https://www.ebi.ac.uk/biostudies/studies/S-SCDT-10_1038-S44320-025-00131-3,multiple,multiple,N/A,N/A,multiple,multiple,xlsx/csv,public,论文图表源数据,pending,data/source_data/,CC BY 4.0,补充表格和小型源数据
