file_name,size_bytes,data_role,download_status
GSE111672_RAW.tar,749291520,archive_mixed_ST_and_inDrop,not_downloaded
GSM3036909.tsv.gz,1516354,expression_verify_sample_metadata,not_downloaded
GSM3036910.tsv.gz,1571521,expression_verify_sample_metadata,not_downloaded
GSM3036911.tsv.gz,1898750,PDAC_A_ST1_expression,not_downloaded
GSM3036911_PDAC-A-ST1-Cy3.jpg.gz,661,PDAC_A_ST1_Cy3_placeholder_or_image_verify,not_downloaded
GSM3036911_PDAC-A-ST1-HE.jpg.gz,293672078,PDAC_A_ST1_histology,not_downloaded
GSM3036911_PDAC-A-ST1-filtered.txt.gz,734175,PDAC_A_ST1_filtered_expression,not_downloaded
GSM3405527_PDAC-A-indrop3.tsv.gz,1200863,inDrop_scRNA_not_spatial,not_downloaded
GSM3405528_PDAC-A-indrop4.tsv.gz,1292457,inDrop_scRNA_not_spatial,not_downloaded
GSM3405529_PDAC-A-indrop5.tsv.gz,1152385,inDrop_scRNA_not_spatial,not_downloaded
GSM3405530_PDAC-A-indrop6.tsv.gz,1300786,inDrop_scRNA_not_spatial,not_downloaded
GSM3405531_PDAC-B-indrop1.tsv.gz,1333065,inDrop_scRNA_not_spatial,not_downloaded
GSM3405532_PDAC-B-indrop2.tsv.gz,2508916,inDrop_scRNA_not_spatial,not_downloaded
GSM3405533_PDAC-B-indrop3.tsv.gz,3086907,inDrop_scRNA_not_spatial,not_downloaded
GSM3405534_PDAC-B-ST1-Cy3.jpg.gz,871702,PDAC_B_ST1_Cy3_image,not_downloaded
GSM3405534_PDAC-B-ST1-HE.jpg.gz,45810785,PDAC_B_ST1_histology,not_downloaded
GSM3405534_PDAC-B-ST1-filtered.txt.gz,487096,PDAC_B_ST1_filtered_expression,not_downloaded
GSM3405534_PDAC-B-ST1.tsv.gz,988786,PDAC_B_ST1_expression,not_downloaded
GSM4100717_PDAC-C-indrop1.tsv.gz,1196407,inDrop_scRNA_not_spatial,not_downloaded
GSM4100718_PDAC-C-indrop2.tsv.gz,950144,inDrop_scRNA_not_spatial,not_downloaded
GSM4100719_PDAC-C-indrop3.tsv.gz,1089970,inDrop_scRNA_not_spatial,not_downloaded
GSM4100720_PDAC-C-indrop4.tsv.gz,1654125,inDrop_scRNA_not_spatial,not_downloaded
GSM4100721_PDAC-A-ST2-HE.jpg.gz,186268478,PDAC_A_ST2_histology,not_downloaded
GSM4100721_PDAC-A-st2.tsv.gz,549661,PDAC_A_ST2_expression,not_downloaded
GSM4100722_PDAC-A-ST3-HE.jpg.gz,75242817,PDAC_A_ST3_histology,not_downloaded
GSM4100722_PDAC-A-st3.tsv.gz,348949,PDAC_A_ST3_expression,not_downloaded
GSM4100723_PDAC-B-ST2-HE.jpg.gz,22301388,PDAC_B_ST2_histology,not_downloaded
GSM4100723_PDAC-B-st2.tsv.gz,416128,PDAC_B_ST2_expression,not_downloaded
GSM4100724_PDAC-B-ST3-HE.jpg.gz,41355762,PDAC_B_ST3_histology,not_downloaded
GSM4100724_PDAC-B-st3.tsv.gz,388089,PDAC_B_ST3_expression,not_downloaded
GSM4100725_PDAC-D-ST-HE.jpg.gz,17353386,PDAC_D_ST_histology,not_downloaded
GSM4100725_PDAC-D-st1.tsv.gz,1046817,PDAC_D_ST_expression,not_downloaded
GSM4100726_PDAC-E-ST-HE.jpg.gz,13294020,PDAC_E_ST_histology,not_downloaded
GSM4100726_PDAC-E-st1.tsv.gz,811015,PDAC_E_ST_expression,not_downloaded
GSM4100727_PDAC-F-ST-HE.jpg.gz,14158032,PDAC_F_ST_histology,not_downloaded
GSM4100727_PDAC-F-st1.tsv.gz,256312,PDAC_F_ST_expression,not_downloaded
GSM4100728_PDAC-G-ST-HE.jpg.gz,10598336,PDAC_G_ST_histology,not_downloaded
GSM4100728_PDAC-G-st1.tsv.gz,549398,PDAC_G_ST_expression,not_downloaded
