item_id,stage,category,description,expected_file_count,preferred_format,local_path,source_name,source_url,accession,availability_status,checked_at,size_bytes,sha256,download_url,notes
e95_fastq_r1,E9.5,raw_fastq,94张Stereo-seq切片的R1（CID+MID/UMI）,94,fastq.gz,data/cheng-2024-mouse-embryo-3d/E9.5/raw_fastq/R1/,CNSA,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,not_publicly_retrievable,2026-08-18,,,,真实文件名和大小尚不可见
e95_fastq_r2,E9.5,raw_fastq,94张Stereo-seq切片的R2（cDNA）,94,fastq.gz,data/cheng-2024-mouse-embryo-3d/E9.5/raw_fastq/R2/,CNSA,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,not_publicly_retrievable,2026-08-18,,,,真实文件名和大小尚不可见
e115_fastq_r1,E11.5,raw_fastq,91张Stereo-seq切片的R1（CID+MID/UMI）,91,fastq.gz,data/cheng-2024-mouse-embryo-3d/E11.5/raw_fastq/R1/,CNSA,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,not_publicly_retrievable,2026-08-18,,,,真实文件名和大小尚不可见
e115_fastq_r2,E11.5,raw_fastq,91张Stereo-seq切片的R2（cDNA）,91,fastq.gz,data/cheng-2024-mouse-embryo-3d/E11.5/raw_fastq/R2/,CNSA,https://db.cngb.org/data_resources/project/CNP0005981/,CNP0005981,not_publicly_retrievable,2026-08-18,,,,真实文件名和大小尚不可见
e95_expression,E9.5,expression,逐切片表达矩阵,94,gef|gem.gz|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/expression/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,优先GEF/GEM/H5AD；勿使用旧版MOSTA替代
e115_expression,E11.5,expression,逐切片表达矩阵,91,gef|gem.gz|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/expression/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,优先GEF/GEM/H5AD；勿使用旧版MOSTA替代
e95_coordinates_2d,E9.5,coordinates_2d,细胞切片内x/y坐标,94,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/cells/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,可能嵌入H5AD obs或obsm
e115_coordinates_2d,E11.5,coordinates_2d,细胞切片内x/y坐标,91,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/cells/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,可能嵌入H5AD obs或obsm
e95_coordinates_3d,E9.5,coordinates_3d,细胞最终x/y/z质心坐标,94,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/coordinates_3d/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,论文称保存在逐切片H5AD
e115_coordinates_3d,E11.5,coordinates_3d,细胞最终x/y/z质心坐标,91,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/coordinates_3d/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,论文称保存在逐切片H5AD
e95_segmentation,E9.5,segmentation,细胞边界或分割掩膜及cell_id,94,geojson|csv|mask|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/cells/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,论文说明用ssDNA分割；是否单独发布边界未知
e115_segmentation,E11.5,segmentation,细胞边界或分割掩膜及cell_id,91,geojson|csv|mask|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/cells/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,论文说明用ssDNA分割；是否单独发布边界未知
e95_cell_annotation,E9.5,cell_annotation,915901个细胞的cluster和88种细胞类型,1,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/annotations/cell_types.csv,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,需要cluster_id/cell_type/置信度/参考标签
e115_cell_annotation,E11.5,cell_annotation,7830602个细胞的cluster和100种细胞类型,1,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/annotations/cell_types.csv,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,需要cluster_id/cell_type/置信度/参考标签
e95_spatial_annotation,E9.5,spatial_annotation,14个器官/空间区域及亚域,1,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E9.5/annotations/spatial_domains.csv,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,需要organ/spatial_domain/subdomain
e115_spatial_annotation,E11.5,spatial_annotation,23个器官/空间区域及亚域,1,csv|h5ad,data/cheng-2024-mouse-embryo-3d/E11.5/annotations/spatial_domains.csv,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,需要organ/spatial_domain/subdomain
e95_sbfi,E9.5,sbfi,完整连续block-face图像序列,unknown,tif|png|jpg,data/cheng-2024-mouse-embryo-3d/E9.5/sbfi_images/,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,每次切片前拍摄；官方文件数未知
e115_sbfi,E11.5,sbfi,完整连续block-face图像序列,unknown,tif|png|jpg,data/cheng-2024-mouse-embryo-3d/E11.5/sbfi_images/,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,每次切片前拍摄；可能多于91张测序切片
e95_ssdna,E9.5,histology,测序切片ssDNA核酸染色图像,94,tif|png|jpg,data/cheng-2024-mouse-embryo-3d/E9.5/histology_images/ssdna/,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,逐文件清单未知
e115_ssdna,E11.5,histology,测序切片ssDNA核酸染色图像,91,tif|png|jpg,data/cheng-2024-mouse-embryo-3d/E11.5/histology_images/ssdna/,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,逐文件清单未知
e115_he,E11.5,histology,相邻未测序切片H&E图像,unknown,tif|png|jpg,data/cheng-2024-mouse-embryo-3d/E11.5/histology_images/he/,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,论文明确有H&E但官方文件数未知
section_metadata,both,metadata,胚胎与切片顺序/厚度/成像/QC元数据,185,csv,data/cheng-2024-mouse-embryo-3d/metadata/section_metadata.csv,MOSTA3D|CNSA,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,94+91张Stereo-seq切片；SBFI总图像数可能不同
registration_transforms,both,registration,Stereo-seq到SBFI的旋转平移缩放与仿射参数,185,csv|json|npy,data/cheng-2024-mouse-embryo-3d/registration/transforms/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,是否单独发布未知
deformation_fields,both,registration,非线性形变参数或变形场,unknown,npy|nii.gz|mha,data/cheng-2024-mouse-embryo-3d/registration/deformation_fields/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,论文流程允许形变校正；公开形式未知
z_positions,both,registration,每张切片在三维空间中的z位置,185,csv|h5ad,data/cheng-2024-mouse-embryo-3d/registration/z_positions.csv,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,not_found,2026-08-18,,,,论文称z由记录的切片顺序确定
organ_meshes,both,mesh,胚胎及器官mesh/轮廓/体积/细胞数/密度,unknown,obj|ply|stl|csv,data/cheng-2024-mouse-embryo-3d/meshes/,MOSTA3D,https://db.cngb.org/stomics/mosta/3d/,CNP0005981,unknown,2026-08-18,,,,论文使用CloudCompare生成mesh；是否提供文件未知
scrna_reference,external,external_reference,Qiu等E9-E12参考单细胞图谱及下载入口,reference_only,geo|sra|csv,data/cheng-2024-mouse-embryo-3d/external_scrna_reference/,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228590,GSE228590,reference_only,2026-08-18,,,,不复制完整千万级参考矩阵
