dataset_id,name,organism,tissue,disease,treatment,cohort_role,sample_count_reported,expression_platform,raw_url,processed_url,response_label_available,notes
GSE12251,UC Infliximab治疗响应,human,colon,IBD (UC),Infliximab,34_gene_signature_training,23,Affymetrix HG-U133 Plus 2.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12251,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE12251,yes,"可能与GSE23597存在重复样本，需检查"
GSE16879,UC/CD Infliximab治疗响应,human,colon,IBD (UC/CD),Infliximab,34_gene_signature_training,61,Affymetrix HG-U133 Plus 2.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16879,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE16879,yes,"可能与GSE14580存在重复样本，需检查"
GSE14580,UC Infliximab治疗响应,human,colon,IBD (UC),Infliximab,34_gene_signature_training,24,Affymetrix HG-U133 Plus 2.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14580,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE14580,yes,"可能与GSE16879存在重复样本，需检查"
GSE73661,UC Infliximab治疗响应,human,colon,IBD (UC),Infliximab,34_gene_signature_training,23,Affymetrix HG-U133 Plus 2.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE73661,yes,"同时用于验证和布尔网络训练；注意数据泄漏"
GSE207022,CD Ustekinumab治疗响应,human,colon,IBD (CD),Ustekinumab,34_gene_signature_training,101,Illumina,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207022,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE207022,yes,"样本量最大的训练队列"
E-MTAB-7604,UC/CD抗TNF治疗响应,human,colon,IBD (UC/CD),"Infliximab;Adalimumab",34_gene_signature_training,43,Affymetrix,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7604,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7604,yes,"从EMBL-EBI BioStudies下载"
GSE234736,UC/CD Vedolizumab治疗响应,human,colon,IBD (UC/CD),Vedolizumab,34_gene_signature_training,47,Illumina,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234736,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE234736,yes,"较新的队列"
GSE23597,UC Infliximab验证,human,colon,IBD (UC),Infliximab,independent_validation,pending,Affymetrix HG-U133 Plus 2.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23597,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE23597,pending,"可能与GSE12251存在重复样本"
GSE115390,IBD抗TNF验证,human,colon,IBD (UC/CD),anti-TNF,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115390,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE115390,pending,""
GSE49858,UC Infliximab验证,human,colon,IBD (UC),Infliximab,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49858,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE49858,pending,""
GSE59071,IBD抗TNF验证,human,colon,IBD (UC/CD),anti-TNF,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE59071,pending,""
GSE37283,UC Infliximab验证,human,colon,IBD (UC),Infliximab,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37283,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE37283,pending,""
GSE83687,IBD抗TNF验证,human,colon,IBD (UC/CD),anti-TNF,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83687,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE83687,pending,"同时用于布尔网络训练"
GSE20881,UC Infliximab验证,human,colon,IBD (UC),Infliximab,independent_validation,pending,Affymetrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20881,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE20881,pending,""
GSE193677,IBD多治疗验证,human,colon,IBD (UC/CD),multiple,independent_validation,pending,Illumina,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193677,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE193677,pending,"较新的验证队列"
GSE6731,IBD布尔网络训练,human,colon,IBD (UC),Infliximab,boolean_network_training,pending,Affymetrix HG-U133A,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6731,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE6731,pending,"较早的IBD队列"
