cell_id,gene,umi_count
C001,Slc17a7,12
C001,Gad1,0
C001,Aldoc,1
C002,Slc17a7,10
C002,Gad1,1
C002,Aldoc,0
C003,Slc17a7,15
C003,Gad1,0
C003,Aldoc,1
C004,Slc17a7,0
C004,Gad1,13
C004,Aldoc,0
C005,Slc17a7,1
C005,Gad1,11
C005,Aldoc,0
C006,Slc17a7,0
C006,Gad1,0
C006,Aldoc,14
C007,Slc17a7,0
C007,Gad1,0
C007,Aldoc,6
C008,Slc17a7,0
C008,Gad1,2
C008,Aldoc,4
C009,Slc17a7,0
C009,Gad1,15
C009,Aldoc,0
C010,Slc17a7,11
C010,Gad1,0
C010,Aldoc,1
C011,Slc17a7,0
C011,Gad1,0
C011,Aldoc,3
C012,Slc17a7,0
C012,Gad1,1
C012,Aldoc,5
