dataset_id,name,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
perturbnet-zinc,"ZINC药物结构数据库",multiple,multiple,chemistry,N/A,https://zinc15.docking.org/,ZINC开放许可证,metadata_only,,topic:pretraining;type:SMILES;model:ChemicalVAE,"预训练ChemicalVAE，学习SMILES药物结构嵌入"
perturbnet-go,"Gene Ontology基因功能",multiple,multiple,knowledge_graph,N/A,https://geneontology.org/,GO开放许可证,metadata_only,,topic:pretraining;type:GO-vector;model:GenotypeVAE,"构建15988维基因功能向量，训练GenotypeVAE"
perturbnet-uniparc-esm,"UniParc/ESM蛋白质序列",multiple,multiple,protein,N/A,https://www.uniprot.org/uniparc,MIT,metadata_only,,topic:pretraining;type:protein-sequence;model:ESM,"预训练ESM，用蛋白质序列表示编码突变"
perturbnet-lincs,"LINCS-Drug药物扰动数据",human,multiple,scRNA-seq,N/A,https://clue.io/data,source-specific,metadata_only,,topic:drug-perturbation;database:LINCS;scale:677159,"677159个表达测量、170个细胞系、19990种化合物；训练和评估未见药物响应"
perturbnet-sciplex,"sci-Plex药物扰动数据",human,"A549;K562;MCF7",scRNA-seq,GSE139944,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,CC BY 4.0,metadata_only,,topic:drug-perturbation;technology:sci-Plex;scale:648857,"648857个细胞、3个细胞系、180种药物；药物扰动后的单细胞表达分布预测"
perturbnet-norman,"Norman CRISPRa基因扰动数据",human,K562,scRNA-seq,GSE133344,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,CC BY 4.0,metadata_only,,topic:gene-perturbation;cell-line:K562;technology:CRISPRa,"109738个K562细胞、2279个基因、230种扰动；预测未见单基因和双基因扰动"
perturbnet-ursu,"Ursu TP53/KRAS蛋白质突变数据",human,A549,scRNA-seq,GSE161824,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161824,CC BY 4.0,metadata_only,,topic:protein-mutation;gene:TP53;gene:KRAS,"162532个A549细胞、1629个基因、163种蛋白质序列；预测未见TP53和KRAS编码突变"
perturbnet-jorge,"Jorge GATA1蛋白质突变数据",human,HSPC,scRNA-seq,GSE215253,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215253,CC BY 4.0,metadata_only,,topic:protein-mutation;gene:GATA1,"142872个HSPC、2477个基因、257种GATA1序列；预测未见GATA1突变及全部单氨基酸替换"
perturbnet-hf,"作者处理后数据和模型",multiple,multiple,multiple,N/A,https://huggingface.co/cyclopeta/PerturbNet_reproduce,CC BY 4.0,metadata_only,,topic:author-data;source:huggingface;type:data+model,"包含data_paper、example_data、models、pretrained_model；第一阶段只下载example_data，第二阶段根据空间决定"
perturbnet-biostudies,"论文图表源数据",multiple,multiple,multiple,S-SCDT-10_1038-S44320-025-00131-3,https://www.ebi.ac.uk/biostudies/studies/S-SCDT-10_1038-S44320-025-00131-3,CC BY 4.0,metadata_only,,topic:source-data;source:biostudies,"BioStudies补充表格和小型源数据"
