paper_id,title,first_author,authors_display,year,journal_or_venue,doi,paper_url,publication_type,related_dataset_ids,related_dataset_names,relation_to_data,pdf_status,local_record,notes,verified_date
zheng-2017-pbmc68k,Massively parallel digital transcriptional profiling of single cells,Grace X. Y. Zheng,Grace X. Y. Zheng et al.,2017,Nature Communications,10.1038/ncomms14049,https://doi.org/10.1038/ncomms14049,research article,DS001,Zheng68K,data generation and technology validation,not_uploaded; publisher license not individually verified,paper_records/zheng-2017-pbmc68k.md,,2026-08-21
baron-2016-pancreas,A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure,Maayan Baron,Maayan Baron et al.,2016,Cell Systems,10.1016/j.cels.2016.08.011,https://doi.org/10.1016/j.cels.2016.08.011,research article,DS004,Baron pancreas,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/baron-2016-pancreas.md,,2026-08-21
muraro-2016-pancreas,A Single-Cell Transcriptome Atlas of the Human Pancreas,Mauro J. Muraro,Mauro J. Muraro et al.,2016,Cell Systems,10.1016/j.cels.2016.09.002,https://doi.org/10.1016/j.cels.2016.09.002,research article,DS005,Muraro pancreas,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/muraro-2016-pancreas.md,,2026-08-21
segerstolpe-2016-pancreas,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Type 2 Diabetes,Åsa Segerstolpe,Åsa Segerstolpe et al.,2016,Cell Metabolism,10.1016/j.cmet.2016.08.020,https://doi.org/10.1016/j.cmet.2016.08.020,research article,DS006,Segerstolpe pancreas,data generation and disease comparison,not_uploaded; publisher license not individually verified,paper_records/segerstolpe-2016-pancreas.md,,2026-08-21
macparland-2018-liver,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,Sonya A. MacParland,Sonya A. MacParland et al.,2018,Nature Communications,10.1038/s41467-018-06318-7,https://doi.org/10.1038/s41467-018-06318-7,research article,DS007,MacParland liver,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/macparland-2018-liver.md,,2026-08-21
schirmer-2019-ms,Neuronal vulnerability and multilineage diversity in multiple sclerosis,Lucas Schirmer,Lucas Schirmer et al.,2019,Nature,10.1038/s41586-019-1404-z,https://doi.org/10.1038/s41586-019-1404-z,research article,DS008,Multiple Sclerosis,data generation and disease atlas,not_uploaded; publisher license not individually verified,paper_records/schirmer-2019-ms.md,,2026-08-21
regev-2017-human-cell-atlas,The Human Cell Atlas,Aviv Regev,Aviv Regev et al.,2017,eLife,10.7554/eLife.27041,https://doi.org/10.7554/eLife.27041,perspective/platform paper,DS009,Human Cell Atlas,initiative and platform definition,not_uploaded; publisher license not individually verified,paper_records/regev-2017-human-cell-atlas.md,,2026-08-21
han-2020-human-cell-landscape,Construction of a human cell landscape at single-cell level,Xiaoping Han,Xiaoping Han et al.,2020,Nature,10.1038/s41586-020-2157-4,https://doi.org/10.1038/s41586-020-2157-4,research article,DS010,Human Cell Landscape,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/han-2020-human-cell-landscape.md,,2026-08-21
tabula-sapiens-2022,"The Tabula Sapiens: A multiple-organ, single-cell transcriptomic atlas of humans",Tabula Sapiens Consortium,Tabula Sapiens Consortium et al.,2022,Science,10.1126/science.abl4896,https://doi.org/10.1126/science.abl4896,consortium atlas article,DS011,Tabula Sapiens,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/tabula-sapiens-2022.md,,2026-08-21
tabula-muris-2018,Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris,Tabula Muris Consortium,Tabula Muris Consortium et al.,2018,Nature,10.1038/s41586-018-0590-4,https://doi.org/10.1038/s41586-018-0590-4,consortium atlas article,DS012,Tabula Muris,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/tabula-muris-2018.md,,2026-08-21
