dataset_id,name,original_paper,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
zhuang-abca-1,"成年小鼠 1：冠状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-1,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-1.html,"以 Allen 数据条款为准",linked,,"organism:mouse;tissue:brain;modality:merfish;orientation:coronal;viewer:spatialvista","3,812,698 个点/细胞。"
zhuang-abca-2,"成年小鼠 2：冠状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-2,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-2.html,"以 Allen 数据条款为准",linked,,"organism:mouse;tissue:brain;modality:merfish;orientation:coronal;viewer:spatialvista","1,654,566 个点/细胞。"
zhuang-abca-3,"成年小鼠 3：矢状切 MERFISH 全脑",Zhang et al. 2023,mouse,brain,MERFISH,Zhuang-ABCA-3,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang-ABCA-3.html,"以 Allen 数据条款为准",linked,,"organism:mouse;tissue:brain;modality:merfish;orientation:sagittal;viewer:spatialvista","2,055,846 个点/细胞。"
han-mouse-brain-stereo-seq,"成年小鼠全脑 Stereo-seq 三维图谱",Han et al. 2025,mouse,brain,Stereo-seq,CNP0003837,https://doi.org/10.12412/BSDC.1699433096.20001,"以 BSDC/CNSA 数据条款为准",linked,,"organism:mouse;tissue:brain;modality:stereo-seq;viewer:spatialvista","3,996,246 个点/细胞。"
mosta-2022-e11-5,"旧版 MOSTA 小鼠胚胎 E11.5 展示数据",MOSTA 2022,mouse,embryo,Stereo-seq,Mouse_E11.5_embryo.h5ad,https://db.cngb.org/stomics/mosta/download/,"以 STOmicsDB 数据条款为准",linked,,"organism:mouse;tissue:embryo;stage:e11.5;viewer:spatialvista;source:stomicsdb;year:2022","6,866,495 个展示点/细胞；处理后 h5ad 约 6.68 GB。该文件不是 Cheng 2024（CNP0005981）的 91 张切片数据。"
xie-e7-5-rep1,"小鼠胚胎 E7.5 重复 1",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e7.5;replicate:1;viewer:spatialvista","12,923 个点/细胞；原始 accession 待核验。"
xie-e7-5-rep2,"小鼠胚胎 E7.5 重复 2",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e7.5;replicate:2;viewer:spatialvista","7,953 个点/细胞；原始 accession 待核验。"
xie-e7-75-rep1,"小鼠胚胎 E7.75 重复 1",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e7.75;replicate:1;viewer:spatialvista","20,584 个点/细胞；原始 accession 待核验。"
xie-e7-75-rep2,"小鼠胚胎 E7.75 重复 2",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e7.75;replicate:2;viewer:spatialvista","23,349 个点/细胞；原始 accession 待核验。"
xie-e8-rep1,"小鼠胚胎 E8.0 重复 1",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e8.0;replicate:1;viewer:spatialvista","10,735 个点/细胞；原始 accession 待核验。"
xie-e8-rep2,"小鼠胚胎 E8.0 重复 2",Xie et al. 2025,mouse,embryo,"3D spatial transcriptomics",,https://yanglab.westlake.edu.cn/spatialvista/vis,"待核验",viewer_only,,"organism:mouse;tissue:embryo;stage:e8.0;replicate:2;viewer:spatialvista","26,846 个点/细胞；原始 accession 待核验。"
mosta-2022-e9-5,"旧版 MOSTA 小鼠胚胎 E9.5 展示数据",MOSTA 2022,mouse,embryo,Stereo-seq,Mouse_E9.5_embryo.h5ad,https://db.cngb.org/stomics/mosta/download/,"以 STOmicsDB 数据条款为准",linked,,"organism:mouse;tissue:embryo;stage:e9.5;viewer:spatialvista;source:stomicsdb;year:2022","641,290 个展示点/细胞；处理后 h5ad 约 821 MB。该文件不是 Cheng 2024（CNP0005981）的 94 张切片数据。"
xiao-human-gastrulation-cs8,"人 CS8 原肠胚三维 Stereo-seq",Xiao et al. 2024,human,embryo,Stereo-seq,HRA005567,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005567,"以 GSA-Human 条款为准",linked,,"organism:human;tissue:embryo;stage:cs8;viewer:spatialvista","37,226 个展示点；论文报告 38,562 个质控后 spots。"
