dataset_id,name,organism,tissue,modality,accession,source_url,license,status,sha256,tags,notes
xcell-xatlas-pisces,"X-Atlas/Pisces核心训练数据",human,multiple,scRNA-seq,N/A,https://huggingface.co/datasets/Xaira-Therapeutics/X-Atlas-Pisces,CC BY-NC-SA 4.0,metadata_only,,topic:training-data;scale:25.6M-cells;status:coming-soon,"25.6M细胞、7个CRISPRi screen、16种细胞背景；当前Coming Soon；不伪造数据"
xcell-mini,"X-Cell Mini 55M模型",human,multiple,model_weights,N/A,https://huggingface.co/Xaira-Therapeutics/X-Cell,CC BY-NC-SA 4.0,metadata_only,,topic:model;params:55M;status:coming-soon,"X-Cell小型模型；当前Coming Soon"
xcell-ultra,"X-Cell Ultra 4.87B模型",human,multiple,model_weights,N/A,https://huggingface.co/Xaira-Therapeutics/X-Cell,CC BY-NC-SA 4.0,metadata_only,,topic:model;params:4.87B;status:coming-soon,"X-Cell大型模型；当前Coming Soon"
xcell-replogle-nadig,"Replogle-Nadig外部评测集",human,multiple,scRNA-seq,N/A,https://huggingface.co/datasets/arcinstitute/Replogle-Nadig-Preprint,source-specific,metadata_only,,topic:evaluation;source:huggingface,"外部评测数据集；可下载"
xcell-parse-1m,"Parse-1M外部评测集",human,multiple,scRNA-seq,N/A,https://huggingface.co/datasets/arcinstitute/State-Parse-Filtered,source-specific,metadata_only,,topic:evaluation;source:huggingface;scale:1M,"外部评测数据集；可下载"
xcell-tahoe-100m,"Tahoe-100M子集",human,multiple,scRNA-seq,N/A,https://huggingface.co/datasets/tahoe-bio/Tahoe-100M,source-specific,metadata_only,,topic:evaluation;source:huggingface;scale:100M,"外部评测数据集子集；可下载"
xcell-melanocyte-progenitor,"melanocyte progenitor评测集",human,melanocyte,scRNA-seq,N/A,N/A,source-specific,unresolved,,topic:evaluation;cell-type:melanocyte,"数据来源待确认"
xcell-primary-t-cells,"primary human CD4+ T cells评测集",human,CD4_T_cells,scRNA-seq,N/A,N/A,source-specific,unresolved,,topic:evaluation;cell-type:CD4-T,"数据来源待确认"
xcell-genept,"GenePT基因文本嵌入先验",multiple,multiple,embeddings,N/A,https://zenodo.org/records/10833191,source-specific,metadata_only,,topic:prior;type:gene-embedding;source:zenodo,"基因自然语言描述的向量表示；可下载"
xcell-esm2,"ESM-2蛋白质语言模型先验",multiple,multiple,embeddings,N/A,https://github.com/facebookresearch/esm,MIT,metadata_only,,topic:prior;type:protein-embedding;model:ESM-2,"蛋白质序列嵌入；可下载"
xcell-string,"STRING蛋白质网络嵌入先验",multiple,multiple,embeddings,N/A,https://stringdb-downloads.org/download/protein.network.embeddings.v12.0.h5,source-specific,metadata_only,,topic:prior;type:PPI-embedding;source:string,"STRING数据库蛋白质网络嵌入；可下载"
xcell-depmap,"DepMap 24Q4癌症依赖先验",human,multiple,pharmacology,N/A,https://plus.figshare.com/articles/dataset/DepMap_24Q4_Public/27993248,source-specific,metadata_only,,topic:prior;database:depmap;version:24Q4,"基因敲除/敲低的细胞存活率数据；可下载"
xcell-jump-cell-painting,"JUMP Cell Painting表型先验",human,multiple,morphology,N/A,https://jump-cellpainting.broadinstitute.org/,source-specific,metadata_only,,topic:prior;type:cell-painting;source:jump,"化合物/基因扰动后的细胞形态学特征；可下载"
xcell-scgpt,"scGPT单细胞预训练先验",human,multiple,embeddings,N/A,https://github.com/bowang-lab/scGPT,source-specific,metadata_only,,topic:prior;model:scGPT;type:foundation-model,"单细胞生成式预训练模型嵌入；可下载"
