source_id,run_accession,experiment_accession,experiment_title,run_title,file_name,file_type,data_level,size_bytes,download_url,is_raw,is_processed,local_path,download_status,sha256,git_tracking,notes
HRA005567,HRR1375369,HRX1076971,CP1-1,CP1-1-a,HRR1375369_f1.fq.gz,FASTQ,raw,5009377565,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375369/HRR1375369_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375369/HRR1375369_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375369,HRX1076971,CP1-1,CP1-1-a,HRR1375369_r2.fq.gz,FASTQ,raw,11199674364,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375369/HRR1375369_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375369/HRR1375369_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375369,,,,HRR1375369_sta.xml,XML,run_statistics,2381,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375369/HRR1375369_sta.xml,no,no,data/external/HRA005567/HRR1375369/HRR1375369_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375370,HRX1076971,CP1-1,CP1-1-b,HRR1375370_f1.fq.gz,FASTQ,raw,2297190750,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375370/HRR1375370_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375370/HRR1375370_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375370,HRX1076971,CP1-1,CP1-1-b,HRR1375370_r2.fq.gz,FASTQ,raw,5109464458,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375370/HRR1375370_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375370/HRR1375370_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375370,,,,HRR1375370_sta.xml,XML,run_statistics,2357,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375370/HRR1375370_sta.xml,no,no,data/external/HRA005567/HRR1375370/HRR1375370_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375371,HRX1076971,CP1-1,CP1-1-c,HRR1375371_f1.fq.gz,FASTQ,raw,4075347870,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375371/HRR1375371_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375371/HRR1375371_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375371,HRX1076971,CP1-1,CP1-1-c,HRR1375371_r2.fq.gz,FASTQ,raw,9095823108,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375371/HRR1375371_r2.fq.gz,yes,no,data/raw/HRA005567/HRR1375371/HRR1375371_r2.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
HRA005567,HRR1375371,,,,HRR1375371_sta.xml,XML,run_statistics,2375,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375371/HRR1375371_sta.xml,no,no,data/external/HRA005567/HRR1375371/HRR1375371_sta.xml,not_downloaded,,ignored,官方run统计；未提交附件
HRA005567,HRR1375372,HRX1076971,CP1-1,CP1-1-d,HRR1375372_f1.fq.gz,FASTQ,raw,2958337163,https://download.cncb.ac.cn/gsa-human/HRA005567/HRR1375372/HRR1375372_f1.fq.gz,yes,no,data/raw/HRA005567/HRR1375372/HRR1375372_f1.fq.gz,not_downloaded,,ignored,官方HTTPS目录；未下载
